"asin","categoryFullName","categoryName","categoryUrl","name","numberOfOffers","position","price","price/currency","price/value","reviewsCount","stars","thumbnailUrl","url"
"B07PXGQC1Q","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Apple AirPods (2nd Generation) Wireless Ear Buds, Bluetooth Headphones with Lightning Charging Case Included, Over 24 Hours of Battery Life, Effortless Setup for iPhone","14","1",,,,"614989","4.7","https://images-na.ssl-images-amazon.com/images/I/7120GgUKj3L._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B07PXGQC1Q"
"B0932QJ2JZ","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Apple AirTag 4 Pack","17","2",,,,"119251","4.8","https://images-na.ssl-images-amazon.com/images/I/71gY9E+cTaS._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B0932QJ2JZ"
"B0CWXNS552","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Apple AirTag","5","3",,,,"61","4.3","https://images-na.ssl-images-amazon.com/images/I/71rP7f78eFL._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B0CWXNS552"
"B08C1W5N87","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Amazon Fire TV Stick, HD, sharp picture quality, fast streaming, free & live TV, Alexa Voice Remote with TV controls",,"4",,"$","39.99","467964","4.7","https://images-na.ssl-images-amazon.com/images/I/51TjJOTfslL._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B08C1W5N87"
"B0BP9MDCQZ","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Amazon Fire TV Stick 4K streaming device, more than 1.5 million movies and TV episodes, supports Wi-Fi 6, watch free & live TV","1","5",,,,"26747","4.7","https://images-na.ssl-images-amazon.com/images/I/41vhe0X8wbL._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B0BP9MDCQZ"
"B09WNK39JN","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Amazon Echo Pop | Compact smart speaker with Alexa | premium Alexa features available for purchase | Charcoal","1","6",,,,"44506","4.7","https://images-na.ssl-images-amazon.com/images/I/61V5FRUgX8L._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B09WNK39JN"
"B0D1XD1ZV3","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Apple AirPods Pro (2nd Generation) Wireless Ear Buds with USB-C Charging, Up to 2X More Active Noise Cancelling Bluetooth Headphones, Transparency Mode, Adaptive Audio, Personalized Spatial Audio","3","7",,,,"16","3.9","https://images-na.ssl-images-amazon.com/images/I/61SUj2aKoEL._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B0D1XD1ZV3"
"B01M0GB8CC","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Apple EarPods Headphones with Lightning Connector, Wired Ear Buds for iPhone with Built-in Remote to Control Music, Phone Calls, and Volume","9","8",,,,"284883","4.6","https://images-na.ssl-images-amazon.com/images/I/41wYbyr3LLL._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B01M0GB8CC"
"B09B8V1LZ3","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal","2","9",,,,"101459","4.7","https://images-na.ssl-images-amazon.com/images/I/518cRYanpbL._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B09B8V1LZ3"
"B0916TKFF2","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Roku Express 4K+ | Roku Streaming Device 4K/HDR, Roku Voice Remote, Free & Live TV",,"10",,"$","29","76804","4.7","https://images-na.ssl-images-amazon.com/images/I/71plMvl-AzL._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B0916TKFF2"
"B09FT58QQP","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black",,"11",,"$","19.99","81185","4.3","https://images-na.ssl-images-amazon.com/images/I/71Sqg+w9bFL._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B09FT58QQP"
"B08SG2MS3V","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",,"12",,"$","41.99","138709","4.3","https://images-na.ssl-images-amazon.com/images/I/41te-uzWxDL._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B08SG2MS3V"
"B09BKCDXZC","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Roku Streaming Stick 4K | Portable Roku Streaming Device 4K/HDR/Dolby Vision, Roku Voice Remote, Free & Live TV",,"13",,"$","34","74806","4.7","https://images-na.ssl-images-amazon.com/images/I/81Z7+LBxPKL._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B09BKCDXZC"
"B09G9FPHY6","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray","31","14",,,,"63445","4.8","https://images-na.ssl-images-amazon.com/images/I/61NGnpjoRDL._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B09G9FPHY6"
"B08R6S1M1K","Best Sellers in Electronics","Electronics","https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/","Wall Charger, Surge Protector, QINLIANF 5 Outlet Extender with 4 USB Charging Ports (4.8A Total) 3-Sided 1680J Power Strip Multi Plug Adapter Spaced for Home Travel Office (3U1C)",,"15",,"$","12.97","69995","4.7","https://images-na.ssl-images-amazon.com/images/I/61Hh-YlfJOL._AC_UL300_SR300,200_.jpg","https://www.amazon.com/dp/B08R6S1M1K"
