Country/Territory,UN region,IMF[1][13],World Bank[14],United Nations[15]
Forecast,Year,Estimate,Year,Estimate,Year
World,—,"109,529,216",2024,"100,562,011",2022,"96,698,005",2021
United States,Americas,"28,781,083",2024,"25,462,700",2022,"23,315,081",2021
China,Asia,"18,532,633",2024[n 1],"17,963,171",2022[n 3],"17,734,131",2021[n 1]
Germany,Europe,"4,591,100",2024,"4,072,192",2022,"4,259,935",2021
Japan,Asia,"4,110,452",2024,"4,231,141",2022,"4,940,878",2021
India,Asia,"3,937,011",2024,"3,385,090",2022,"3,201,471",2021
United Kingdom,Europe,"3,495,261",2024,"3,070,668",2022,"3,131,378",2021
France,Europe,"3,130,014",2024,"2,782,905",2022,"2,957,880",2021
Brazil,Americas,"2,331,391",2024,"1,920,096",2022,"1,608,981",2021
Italy,Europe,"2,328,028",2024,"2,010,432",2022,"2,107,703",2021
Canada,Americas,"2,242,182",2024,"2,139,840",2022,"1,988,336",2021
Russia,Europe,"2,056,844",2024,"2,240,422",2022,"1,778,782",2021
Mexico,Americas,"2,017,025",2024,"1,414,187",2022,"1,272,839",2021
Australia,Oceania,"1,790,348",2024,"1,675,419",2022,"1,734,532",2021
South Korea,Asia,"1,760,947",2024,"1,665,246",2022,"1,810,966",2021
Spain,Europe,"1,647,114",2024,"1,397,509",2022,"1,427,381",2021
Indonesia,Asia,"1,475,690",2024,"1,319,100",2022,"1,186,093",2021
Netherlands,Europe,"1,142,513",2024,"991,115",2022,"1,012,847",2021
Turkey,Asia,"1,113.561",2024,"905,988",2022,"819,034",2021
Saudi Arabia,Asia,"1,106,015",2024,"1,108,149",2022,"833,541",2021
Switzerland,Europe,"938,458",2024,"807,706",2022,"812,867",2021
Poland,Europe,"844,623",2024,"688,177",2022,"679,442",2021
Taiwan,Asia,"802,958",[n 4]2024,—,—
Belgium,Europe,"655,192",2024,"578,604",2022,"594,104",2021
Sweden,Europe,"623,048",2024,"585,939",2022,"635,664",2021
Argentina,Americas,"604,260",2024,"632,770",2022,"487,227",2021
Ireland,Europe,"564,020",2024,"529,245",2022,"504,183",2021
Thailand,Asia,"548,890",2024,"495,341",2022,"505,982",2021
Austria,Europe,"540,887",2024,"471,400",2022,"480,368",2021
Israel,Asia,"530,664",2024,"522,033",2022,"481,591",2021
United Arab Emirates,Asia,"527,796",2024,"507,535",2022,"405,468",2021
Norway,Europe,"526,951",2024,"579,267",2022,"482,175",2021
Singapore,Asia,"525,228",2024,"466,789",2022,"396,992",2021
Philippines,Asia,"471,516",2024,"404,284",2022,"394,086",2021
Vietnam,Asia,"465,814",2024,"408,802",2022,"366,138",2021
Iran,Asia,"464,181",2024,"388,544",2022,"594,892",2021
Bangladesh,Asia,"455,162",2024,"460,201",2022,"414,907",2021
Malaysia,Asia,"445,519",2024,"406,306",2022,"372,702",2021
Denmark,Europe,"409,989",2024,"395,404",2022,"398,303",2021
Hong Kong,Asia,"406,775",[n 5]2024,"359,839",2022,"369,174",2021
Colombia,Americas,"386,076",2024,"343,939",2022,"314,464",2021
South Africa,Africa,"373,233",2024,"405,870",2022,"419,016",2021
Romania,Europe,"369,971",2024,"301,262",2022,"284,086",2021
Egypt,Africa,"347,594",2024,"476,748",2022,"425,906",2021
Pakistan,Asia,"338,237",2023,"376,533",2022,"342,501",2021
Chile,Americas,"333,760",2024,"301,025",2022,"317,059",2021
Czech Republic,Europe,"325,880",2024,"290,924",2022,"281,778",2021
Finland,Europe,"308,055",2024,"280,826",2022,"297,302",2021
Portugal,Europe,"298,949",2024,"251,945",2022,"253,663",2021
Kazakhstan,Asia,"296,740",2024,"220,623",2022,"193,018",2021
Peru,Americas,"282,458",2024,"242,632",2022,"223,252",2021
Algeria,Africa,"266,780",2024,"191,913",2022,"163,473",2021
Iraq,Asia,"265,894",2024,"264,182",2022,"204,004",2021
New Zealand,Oceania,"257,626",2024,"247,234",2022,"250,451",2021
Nigeria,Africa,"252,738",2024,"477,386",2022,"430,923",2021
Greece,Europe,"250,276",2024,"219,066",2022,"214,874",2021
Qatar,Asia,"244,686",2024,"237,296",2022,"179,571",2021
Hungary,Europe,"223,413",2024,"178,789",2022,"181,848",2021
Ethiopia,Africa,"205,130",2024,"126,783",2022,"99,269",2021
Ukraine,Europe,"188,943",[n 6]2024,"160,503",[n 6]2022,"200,086",[n 6]2021
Kuwait,Asia,"160,397",2024,"184,558",2022,"136,642",2021
Morocco,Africa,"152,377",2024,"134,182",2022,"142,867",[n 7]2021
Slovakia,Europe,"140,808",2024,"115,469",2022,"116,527",2021
Cuba,Americas,—,"107,350",2020,"126,694",2021
Dominican Republic,Americas,"127,356",2024,"113,642",2022,"94,243",2021
Ecuador,Americas,"121,592",2024,"115,049",2022,"106,166",2021
Puerto Rico,Americas,"117,763",2024,"113,435",2022,"106,526",2021
Guatemala,Americas,"110,035",2024,"95,003",2022,"85,986",2021
Oman,Asia,"108,927",2024,"114,667",2022,"88,192",2021
Bulgaria,Europe,"107,933",2024,"89,040",2022,"84,058",2021
Kenya,Africa,"104,001",2024,"113,420",2022,"110,347",2021
Venezuela,Americas,"102,328",2024,—,"111,813",2021
Uzbekistan,Asia,"97,956",2024,"80,392",2022,"69,239",2021
Costa Rica,Americas,"96,058",2024,"68,381",2022,"64,282",2021
Angola,Africa,"92,123",2024,"106,714",2022,"70,533",2021
Luxembourg,Europe,"88,556",2024,"82,275",2022,"85,506",2021
Croatia,Europe,"88,076",2024,"70,965",2022,"68,955",2021
Panama,Americas,"87,347",2024,"76,523",2022,"63,605",2021
Ivory Coast,Africa,"86,911",2024,"70,019",2022,"69,765",2021
Uruguay,Americas,"82,605",2024,"71,177",2022,"59,318",2021
Turkmenistan,Asia,"81,896",2024,—,"53,954",2021
Serbia,Europe,"81,873",2024,"63,502",2022,"63,068",2021
Lithuania,Europe,"81,170",2024,"70,334",2022,"66,445",2021
Tanzania,Africa,"79,605",2024,"75,709",2022,"70,297",[n 8]2021
Azerbaijan,Asia,"78,749",2024,"78,721",2022,"54,622",2021
Ghana,Africa,"75,244",2024,"72,839",2022,"79,083",2021
DR Congo,Africa,"73,761",2024,"58,066",2022,"52,850",2021
Slovenia,Europe,"72,101",2024,"62,118",2022,"61,749",2021
Belarus,Europe,"69,048",2024,"72,793",2022,"68,206",2021
Myanmar,Asia,"68,006",2024,"59,364",2022,"58,582",2021
Sri Lanka,Asia,—,"74,404",2022,"85,309",2021
Uganda,Africa,"56,310",2024,"45,559",2022,"42,661",2021
Tunisia,Africa,"54,708",2024,"46,665",2022,"46,687",2021
Macau,Asia,"54,677",[n 9]2024,"21,979",2022,"29,905",2021
Jordan,Asia,"53,570",2024,"47,452",2022,"45,244",2021
